x0000,y0000
13085.75918,177,
13085.75918,137,
13085.75644,169,
13085.75337,128,
13085.75337,155,
13085.75034,116,
13085.7473,110,
13085.7473,151,
13085.74435,195,
13085.74126,133,
13085.74126,194,
13085.73812,182,
13085.73525,189,
13085.73525,170,
13085.73225,166,
13085.72917,199,
13085.72917,144,
13085.72595,175,
13085.72292,291,
13085.72292,307,
13085.71971,147,
13085.71652,201,
13085.71652,274,
13085.71331,240,
13085.71014,221,
13085.71014,213,
13085.70685,278,
13085.70379,274,
13085.70379,289,
13085.70059,195,
13085.69736,261,
13085.69736,218,
13085.69399,207,
13085.69075,225,
13085.69075,225,
13085.6876,250,
13085.68436,362,
13085.68436,257,
13085.68115,245,
13085.6778,236,
13085.6778,272,
13085.67454,265,
13085.67112,276,
13085.67112,297,
13085.66784,268,
13085.66443,208,
13085.66443,215,
13085.66118,221,
13085.65774,250,
13085.65774,220,
13085.65439,205,
13085.65096,234,
13085.65096,156,
13085.6475,153,
13085.64395,237,
13085.64395,190,
13085.64051,216,
13085.63709,228,
13085.63709,179,
13085.63358,285,
13085.63358,220,
13085.63017,248,
13085.62661,200,
13085.62661,244,
13085.62331,199,
13085.61975,233,
13085.61975,257,
13085.61632,308,
13085.61272,226,
13085.61272,264,
13085.60928,240,
13085.60567,192,
13085.60567,234,
13085.60224,190,
13085.59867,239,
13085.59867,283,
13085.59509,218,
13085.59171,237,
13085.59171,187,
13085.58814,212,
13085.58459,213,
13085.58459,234,
13085.58085,250,
13085.57743,290,
13085.57743,257,
13085.57374,242,
13085.57026,304,
13085.57026,199,
13085.56654,277,
13085.56305,280,
13085.56305,233,
13085.55942,152,
13085.55593,186,
13085.55593,255,
13085.55217,244,
13085.54861,180,
13085.54861,199,
13085.54492,205,
13085.54129,207,
13085.54129,184,
13085.53774,179,
13085.53401,134,
13085.53401,135,
13085.5304,152,
13085.5265,165,
13085.5265,141,
13085.52278,96,
13085.51904,145,
13085.51904,135,
13085.51536,124,
13085.51152,174,
13085.51152,134,
13085.50796,161,
13085.50416,142,
13085.50416,91,
13085.50044,112,
13085.4969,167,
13085.4969,152,
13085.49305,135,
13085.48934,133,
13085.48934,98,
13085.48551,145,
13085.48192,132,
13085.48192,132,
13085.4781,114,
13085.47432,105,
13085.47432,144,
13085.47046,115,
13085.47046,149,
13085.46684,142,
13085.46302,144,
13085.46302,140,
13085.45928,155,
13085.45555,172,
13085.45555,127,
13085.45189,120,
13085.448,158,
13085.448,170,
13085.44409,177,
13085.4404,187,
13085.4404,191,
13085.43647,166,
13085.43286,143,
13085.43286,144,
13085.42902,143,
13085.42523,111,
13085.42523,128,
13085.4213,133,
13085.41753,122,
13085.41753,125,
13085.41358,91,
13085.40985,88,
13085.40985,80,
13085.40598,106,
13085.40224,81,
13085.40224,90,
13085.39834,74,
13085.3946,75,
13085.3946,100,
13085.39069,100,
13085.38681,101,
13085.38681,79,
13085.38306,76,
13085.37907,68,
13085.37907,85,
13085.37528,80,
13085.95055,38,
13085.95055,27,
13085.94675,46,
13085.94277,38,
13085.94277,27,
13085.93893,38,
13085.93496,39,
13085.93496,34,
13085.9312,47,
13085.9273,32,
13085.9273,42,
13085.92338,61,
13085.91966,78,
13085.91966,57,
13085.91565,59,
13085.91192,54,
13085.91192,40,
13085.908,48,
13085.90423,52,
13085.90423,45,
13085.90018,59,
13085.89631,68,
13085.89631,78,
13085.89249,71,
13085.89249,69,
13085.88859,76,
13085.88467,67,
13085.88467,55,
13085.88087,48,
13085.87679,40,
13085.87679,69,
13085.87286,62,
13085.86906,57,
13085.86906,77,
13085.86508,64,
13085.86128,93,
13085.86128,75,
13085.85724,86,
13085.85343,50,
13085.85343,55,
13085.84931,70,
13085.84543,78,
13085.84543,103,
13085.84137,108,
13085.83755,95,
13085.83755,110,
13085.83356,112,
13085.82952,102,
13085.82952,117,
13085.82574,131,
13085.82178,88,
13085.82178,110,
13085.81795,130,
13085.81409,111,
13085.81409,118,
13085.81016,114,
13085.80612,136,
13085.80612,138,
13085.80222,151,
13085.79816,131,
13085.79816,148,
13085.79431,211,
13085.79022,224,
13085.79022,211,
13085.7863,192,
13085.78224,214,
13085.78224,181,
13085.77839,190,
13085.77434,189,
13085.77434,236,
13085.7704,256,
13085.76639,226,
13085.76639,333,
13085.76262,307,
13085.75863,213,
13085.75863,245,
13085.75477,235,
13085.75067,274,
13085.75067,217,
13085.74671,346,
13085.74302,337,
13085.74302,318,
13085.73888,304,
13085.73507,294,
13085.73507,347,
13085.73107,296,
13085.73107,350,
13085.72716,322,
13085.72317,287,
13085.72317,304,
13085.71929,274,
13085.71535,276,
13085.71535,251,
13085.71148,241,
13085.70744,266,
13085.70744,255,
13085.70353,299,
13085.69947,270,
13085.69947,239,
13085.69561,296,
13085.69155,306,
13085.69155,297,
13085.68775,304,
13085.68377,367,
13085.68377,331,
13085.67978,312,
13085.67595,322,
13085.67595,301,
13085.67191,303,
13085.66802,265,
13085.66802,329,
13085.664,287,
13085.66012,251,
13085.66012,301,
13085.65616,296,
13085.65239,313,
13085.65239,369,
13085.64833,305,
13085.64439,314,
13085.64439,400,
13085.64035,350,
13085.63642,319,
13085.63642,294,
13085.63242,301,
13085.62855,388,
13085.62855,367,
13085.6247,362,
13085.62066,337,
13085.62066,407,
13085.61668,438,
13085.61263,455,
13085.61263,430,
13085.60884,426,
13085.60483,430,
13085.60483,435,
13085.60106,421,
13085.59714,429,
13085.59714,371,
13085.59323,392,
13085.58922,374,
13085.58922,350,
13085.58531,325,
13085.5812,299,
13085.5812,315,
13085.57735,343,
13085.57336,262,
13085.57336,299,
13085.56924,309,
13085.56531,284,
13085.56531,275,
13085.5612,272,
13085.55729,211,
13085.55729,295,
13085.55318,293,
13085.55318,329,
13085.54908,284,
13085.5449,287,
13085.5449,278,
13085.54095,244,
13085.53664,317,
13085.53664,269,
13085.53257,290,
13085.52841,266,
13085.52841,306,
13085.52439,244,
13085.52016,231,
13085.52016,234,
13085.51612,287,
13085.51195,255,
13085.51195,259,
13085.508,243,
13085.5037,240,
13085.5037,244,
13085.49969,241,
13085.49559,211,
13085.49559,249,
13085.4915,218,
13085.48736,213,
13085.48736,199,
13085.48311,214,
13085.47907,288,
13085.47907,223,
13085.47489,232,
13085.47087,229,
13085.47087,202,
13085.46663,219,
13085.46261,184,
13085.46261,176,
13085.45823,159,
13085.45424,145,
13085.45424,202,
13085.45002,182,
13085.44603,151,
13085.44603,197,
13085.44175,138,
13085.43763,182,
13085.43763,175,
13085.43349,166,
13085.42943,172,
13085.42943,150,
13085.42511,145,
13085.42104,143,
13085.42104,130,
13085.41674,144,
13085.41254,127,
13085.41254,133,
13085.4085,154,
13085.40427,119,
13085.40427,114,
13085.40038,101,
13085.3991,132,
13085.3991,132,
13085.39822,108,
13085.39747,124,
13085.39747,117,
13085.39681,106,
13085.39681,79,
13085.39624,93,
13085.39577,129,
13085.39577,120,
13085.39529,117,
13085.39483,113,
13085.39483,87,
13085.39445,95,
13085.39411,129,
13085.39411,107,
13085.39378,109,
13085.39344,122,
13085.39344,126,
13085.39311,113,
13085.39278,104,
13085.39278,154,
13085.39252,100,
13085.39224,164,
13085.39224,154,
13085.39199,135,
13085.39174,161,
13085.39174,114,
13085.39152,112,
13085.39127,104,
13085.39127,144,
13085.39104,100,
13085.39081,93,
13085.39081,110,
13085.39059,104,
13085.39038,95,
13085.39038,103,
13085.39019,93,
13085.38997,97,
13085.38997,98,
13085.38982,88,
13085.38962,83,
13085.38962,89,
13085.38944,72,
